"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FBM","Foundation Building Materials, Inc.","12.99","$561.2M","2017","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/fbm",
"FCPT","Four Corners Property Trust, Inc.","21.67","$1.52B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/fcpt",
"FEDU","Four Seasons Education (Cayman) Inc.","1.26","$62.92M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/fedu",
"FNV","Franco-Nevada Corporation","144.56","$27.46B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/fnv",
"FC","Franklin Covey Company","20.3","$281.56M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/fc",
"FSB","Franklin Financial Network, Inc.","23.38","$348.82M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/fsb",
"BEN","Franklin Resources, Inc.","17.96","$8.9B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ben",
"FT","Franklin Universal Trust","6.434","$161.7M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ft",
"FI","Frank&#39;s International N.V.","1.95","$440.13M","2013","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/fi",
"FCX","Freeport-McMoran, Inc.","8.9","$12.92B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/fcx",
"FMS","Fresenius Medical Care Corporation","40.55","$23.79B","n/a","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/fms",
"FDP","Fresh Del Monte Produce, Inc.","23.07","$1.1B","1997","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/fdp",
"RESI","Front Yard Residential Corporation","6.92","$374.46M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/resi",
"FRO","Frontline Ltd.","8.12","$1.61B","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/fro",
"FSK","FS KKR Capital Corp.","3.38","$1.67B","2014","n/a","n/a","https://old.nasdaq.com/symbol/fsk",
"FCN","FTI Consulting, Inc.","115.22","$4.27B","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/fcn",
"FTSI","FTS International, Inc.","5.72","$30.77M","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ftsi",
"FF","FutureFuel Corp.","12.01","$525.36M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ff",
"GCV","Gabelli Convertible and Income Securities Fund, Inc. (The)","5.05","$95.05M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gcv",
"GAB","Gabelli Equity Trust, Inc. (The)","4.44","$1.12B","1986","n/a","n/a","https://old.nasdaq.com/symbol/gab",
"GAB^G","Gabelli Equity Trust, Inc. (The)","25.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gab^g",
"GAB^H","Gabelli Equity Trust, Inc. (The)","25.07","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gab^h",
"GAB^J","Gabelli Equity Trust, Inc. (The)","25.603","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gab^j",
"GAB^K","Gabelli Equity Trust, Inc. (The)","25.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gab^k",
"GGZ","Gabelli Global Small and Mid Cap Value Trust (The)","8.47","$79.29M","2014","n/a","n/a","https://old.nasdaq.com/symbol/ggz",
"GGZ^A","Gabelli Global Small and Mid Cap Value Trust (The)","25.3487","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggz^a",
"GGT","Gabelli Multi-Media Trust Inc. (The)","6.61","$164.58M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggt",
"GGT^E","Gabelli Multi-Media Trust Inc. (The)","25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggt^e",
"GGT^G","Gabelli Multi-Media Trust Inc. (The)","24.99","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggt^g",
"GUT","Gabelli Utility Trust (The)","6.9","$375.87M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gut",
"GUT^A","Gabelli Utility Trust (The)","26.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gut^a",
"GUT^C","Gabelli Utility Trust (The)","25.7525","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gut^c",
"GCAP","GAIN Capital Holdings, Inc.","6.32","$238.92M","2010","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/gcap",
"GLEO","Galileo Acquisition Corp.","9.86","$171.56M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/gleo",
"GLEO.U","Galileo Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/gleo.u",
"GLEO.WS","Galileo Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gleo.ws",
"GBL","Gamco Investors, Inc.","12.82","$354.99M","1999","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/gbl",
"GNT","GAMCO Natural Resources, Gold & Income Tust ","4.74","$99.1M","2011","n/a","n/a","https://old.nasdaq.com/symbol/gnt",
"GNT^A","GAMCO Natural Resources, Gold & Income Tust ","25.185","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gnt^a",
"GME","Gamestop Corporation","4.44","$286.74M","2002","Consumer Services","Electronics Distribution","https://old.nasdaq.com/symbol/gme",
"GCI","Gannett Co., Inc.","1.42","$187.58M","2014","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/gci",
"GPS","Gap, Inc. (The)","8.19","$3.05B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/gps",
"GTX","Garrett Motion Inc.","4.45","$336.36M","2018","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/gtx",
"IT","Gartner, Inc.","116.27","$10.37B","1993","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/it",
