sector,filename
BasicIndustries,tpc_20200506_10q_THISQ.xml
BasicIndustries,dow_20200501_10q_THISQ.xml
BasicIndustries,cbt_20190808_10q_1.xml
BasicIndustries,hl_20190808_10q_1.xml
BasicIndustries,fcx_20191106_10q_0.xml
BasicIndustries,ip_20200501_10q_THISQ.xml
BasicIndustries,kwr_20191112_10q_0.xml
BasicIndustries,ce_20200428_10q_THISQ.xml
BasicIndustries,mux_20191030_10q_0.xml
BasicIndustries,bld_20200505_10q_THISQ.xml
BasicIndustries,glw_20190731_10q_1.xml
BasicIndustries,bld_20191031_10q_0.xml
BasicIndustries,glt_20190730_10q_1.xml
BasicIndustries,ryi_20191029_10q_0.xml
BasicIndustries,mlm_20180727_10q_0.xml
BasicIndustries,ip_20190731_10q_1.xml
BasicIndustries,sxc_20190730_10q_1.xml
BasicIndustries,bdc_20190805_10q_1.xml
BasicIndustries,ain_20191030_10q_0.xml
BasicIndustries,oln_20200501_10q_THISQ.xml
BasicIndustries,wst_20190729_10q_1.xml
BasicIndustries,mos_20190806_10q_1.xml
BasicIndustries,gva_20191025_10q_0.xml
BasicIndustries,fbhs_20191031_10q_0.xml
BasicIndustries,dd_20200505_10q_THISQ.xml
BasicIndustries,cbt_20200511_10q_THISQ.xml
BasicIndustries,hcr_20190809_10q_0.xml
BasicIndustries,ftk_20190808_10q_0.xml
BasicIndustries,gva_20190806_10q_0.xml
BasicIndustries,x_20200501_10q_THISQ.xml
BasicIndustries,cde_20200422_10q_THISQ.xml
BasicIndustries,kop_20200507_10q_THISQ.xml
BasicIndustries,apd_20190125_10q_1.xml
BasicIndustries,nue_20190807_10q_1.xml
BasicIndustries,tse_20200508_10q_THISQ.xml
BasicIndustries,eva_20200429_10q_THISQ.xml
BasicIndustries,axta_20190425_10q_1.xml
BasicIndustries,rog_20200501_10q_THISQ.xml
BasicIndustries,npo_20191105_10q_0.xml
BasicIndustries,mux_20200518_10q_THISQ.xml
BasicIndustries,kbr_20190503_10q_0.xml
BasicIndustries,cf_20190801_10q_0.xml
BasicIndustries,kra_20190725_10q_0.xml
BasicIndustries,np_20200511_10q_THISQ.xml
BasicIndustries,kop_20190808_10q_1.xml
BasicIndustries,trox_20190809_10q_1.xml
